feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37
-525.625244140625,83.9656753540039,1.1112377643585205,28.65924835205078,12.8638916015625,4.470141887664795,-1.4341154098510742,-2.1492698192596436,-2.241253137588501,3.594184160232544,-1.0239884853363037,-1.0273818969726562,0.7841325402259827,174.71371459960938,89.45285034179688,31.542695999145508,26.7353515625,17.317562103271484,15.954808235168457,14.034743309020996,16.407306671142578,13.144883155822754,12.209373474121094,10.548328399658203,9.905948638916016,9.130162239074707,4.8816986083984375,10.015586853027344,0.13424180327868854,0.12217248344656946,1779.2329342376229,1055.416314645228,1616.419945217156,647.4589631329108,3616.72131147541,1979.3977568214416,0.6615651249885559,1.0228135585784912
-385.2630310058594,74.35430145263672,1.9731301069259644,35.24647903442383,-4.226901531219482,-8.836118698120117,-14.416638374328613,-12.96945571899414,-5.88771915435791,-2.6642980575561523,-6.782538890838623,-2.0308420658111572,-2.9702951908111572,125.51232147216797,78.7048568725586,32.65339279174805,33.47542953491211,22.590511322021484,19.306596755981445,19.072528839111328,17.478736877441406,16.240358352661133,17.986236572265625,12.420592308044434,15.263668060302734,12.242593765258789,8.002779960632324,11.640522003173828,0.18046969696969697,0.18641953091339108,1968.3052750192844,1347.7745996841575,1518.9958108329836,434.2355089555956,3429.5757575757575,1925.5885685083094,0.9720484018325806,1.0597312450408936
-460.0716247558594,55.50676727294922,-0.020810412243008614,22.041406631469727,-17.924896240234375,-5.180997848510742,-12.014630317687988,-3.7981231212615967,-7.809309482574463,-7.825197219848633,-4.882044792175293,-4.795701026916504,-4.487957954406738,176.1403045654297,51.93899917602539,30.7918758392334,31.39468002319336,32.00127410888672,16.47170066833496,18.728309631347656,13.428584098815918,16.362934112548828,12.920961380004883,11.161698341369629,14.655610084533691,10.773738861083984,6.000508785247803,10.318979263305664,0.1840137614678899,0.15668608625891378,2180.4434752100865,1092.7405017964475,1795.1803757971268,460.0619685512208,4185.761467889908,1699.097174724706,0.7850263714790344,0.9512827396392822
-528.8612060546875,72.2130126953125,18.266834259033203,27.44363021850586,10.30445671081543,6.031957149505615,-0.3788687288761139,1.4563441276550293,9.31383228302002,3.6123998165130615,2.536954402923584,-3.7098004817962646,-4.202270984649658,157.9504852294922,44.587806701660156,23.942537307739258,21.365047454833984,13.709185600280762,11.933037757873535,13.149782180786133,14.576041221618652,12.656847953796387,9.034041404724121,8.210232734680176,10.37149715423584,10.377570152282715,3.1445250511169434,7.926586627960205,0.10192190669371197,0.08276041012214484,1728.1557013498973,711.1039846425394,1891.1811293922156,431.7274431687694,3850.953346855984,1400.117100236694,0.602154016494751,0.8453212380409241
-422.45062255859375,103.91355895996094,-8.154605865478516,48.166141510009766,11.522714614868164,-4.542049407958984,-0.5908834338188171,-8.684222221374512,-3.293208599090576,-8.406917572021484,-7.624458312988281,-6.00686502456665,-7.239503383636475,135.46994018554688,75.7626724243164,39.22904968261719,29.99945640563965,26.07927131652832,21.23779296875,15.931706428527832,19.324800491333008,13.07254695892334,13.779396057128906,14.3821382522583,10.18539047241211,15.301568984985352,6.9313459396362305,12.605557441711426,0.12584605597964377,0.14893248155473957,1584.3471210654816,1192.6212357117847,1392.948157662749,531.7277421975277,2977.3027989821885,1873.6653203654748,0.8690892457962036,0.8447635173797607
-370.3666687011719,98.2060317993164,3.607666015625,15.3738431930542,13.951515197753906,-5.620834827423096,-13.882793426513672,-13.851909637451172,-14.250240325927734,2.8237318992614746,-7.357358932495117,-7.686043739318848,3.187103509902954,114.4249267578125,63.050811767578125,29.45697784423828,31.995210647583008,17.831350326538086,18.651199340820312,17.451461791992188,14.256199836730957,17.90448760986328,11.657928466796875,11.791340827941895,13.814689636230469,10.365558624267578,10.647011756896973,12.06955623626709,0.15293067226890758,0.1897017739790763,1686.9556614819635,1291.4041419603077,1545.677403072111,536.0775452614188,3042.6890756302523,2080.5831832247495,0.9120033383369446,0.9722500443458557
-388.3867492675781,105.31346130371094,2.2493209838867188,33.460819244384766,5.403588771820068,0.6757519245147705,-13.713817596435547,-11.257833480834961,-12.437664031982422,-6.019611835479736,-7.32373571395874,-3.7246317863464355,-10.67871379852295,110.8849868774414,73.88445281982422,39.610233306884766,25.215267181396484,20.19001579284668,20.061532974243164,16.221546173095703,18.847320556640625,17.71289825439453,14.978188514709473,10.3804349899292,13.337191581726074,12.858821868896484,13.976851463317871,16.541297912597656,0.13775333333333334,0.16276742862815713,1515.5684575280955,1209.7862809781784,1301.2976502188505,528.6474381523469,2635.4133333333334,1939.0918224318884,0.9147018194198608,0.9630056619644165
-495.5322570800781,59.82230758666992,7.923336505889893,23.8553409576416,7.211443901062012,2.4906842708587646,-3.6937193870544434,-4.628182411193848,-3.53627347946167,-1.5389524698257446,-1.8504000902175903,-0.7224130034446716,2.928961992263794,143.2161102294922,58.594261169433594,26.163888931274414,23.903837203979492,17.47043228149414,14.675219535827637,14.073160171508789,20.333005905151367,11.735799789428711,12.144389152526855,10.607022285461426,11.226932525634766,10.215348243713379,3.7821569442749023,8.222738265991211,0.19277070063694268,0.1794260753906253,2188.9079092263264,1210.5870937060185,1861.0733364190844,490.5394881202529,4246.751592356688,1852.871146643593,0.7407788038253784,0.9538231492042542
-525.2417602539062,77.09339141845703,1.461562156677246,41.22011947631836,12.873456954956055,-11.129535675048828,-2.3150882720947266,-2.517887592315674,-0.5053540468215942,5.23309850692749,-2.258101463317871,5.811882495880127,1.3622379302978516,161.3236541748047,69.5731430053711,34.24319839477539,33.81471633911133,18.1959171295166,25.897661209106445,16.308454513549805,14.151272773742676,15.552325248718262,14.322996139526367,14.795833587646484,9.354413032531738,10.5088529586792,4.057336807250977,9.238038063049316,0.12757731958762886,0.10804283562994688,1747.6298045790518,793.4945590957384,1697.9092297034335,568.9527460906712,3701.855670103093,1609.4431364324216,0.7559319138526917,1.1942635774612427
-512.5858764648438,70.78057861328125,-3.197526216506958,24.33629035949707,-10.418035507202148,6.37828254699707,-6.868136405944824,-5.713566303253174,-7.274878025054932,-6.652231693267822,3.539795398712158,-6.077476978302002,-2.6146292686462402,162.1131591796875,45.902095794677734,35.87748336791992,27.463390350341797,36.85061264038086,18.212007522583008,23.263206481933594,18.23651123046875,17.70026397705078,13.459982872009277,11.616454124450684,13.310514450073242,10.839438438415527,5.160926342010498,11.312479019165039,0.12227362204724408,0.13909462922416077,1676.894943701144,917.7613969443609,1702.812963914633,572.7544761978444,3510.7086614173227,1726.0236862556467,0.7219764590263367,1.2734873294830322
